Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Bwd Byts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Binary,Timestamp
192.168.3.4-192.168.3.10-0-42071-6,192.168.3.10,42071,192.168.3.4,0,6,58356536,33,35,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.165250796,870993.0746,1278400.536,7073332,5,57472145,1796004.531,1424585.686,7073347,441610,58356536,1716368.706,1340822.725,7073600,269,0,660,700,0.565489357,0.599761439,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0,33,0,35,0,-1,0,0,20329527.0,0.0,20329527,20329527,7073332.0,0.0,7073332,7073332,1,1689170700
192.168.3.4-192.168.3.10-11311-60002-6,192.168.3.10,60002,192.168.3.4,11311,6,73367230,30,1,630,0,30,0,21.0,13.98274799,0,0,0.0,0.0,8.586939973,0.422531967,2445574.333,8112317.921,42520491,0,72363099,2495279.276,8251259.544,42520491,0,0,0.0,0.0,0,0,0,992,40,0.408901903,0.013630063,30,19.6875,14.47676113,209.5766129,0,1,0,0,0,20.32258065,21.0,0.0,0,0,30,630,1,0,-1,64240,21,2906342.0,3775181.191,7185464,46483,21484102.67,18428654.35,42520491,8187766,1,1692103200
192.168.3.4-192.168.3.10-0-17922-6,192.168.3.10,17922,192.168.3.4,0,6,55653551,38,40,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.40152782,722773.3896,1180362.376,5713213,5,54327735,1468317.162,1339519.15,5713508,441659,55653551,1427014.128,1324884.522,5713227,253,0,760,800,0.682795605,0.718732215,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0,38,0,40,0,-1,0,0,32704484.0,0.0,32704484,32704484,5713213.0,0.0,5713213,5713213,1,1689172980
192.168.3.4-192.168.3.10-33986-39525-6,192.168.3.10,39525,192.168.3.4,33986,6,74740997,4,1,30,0,30,0,7.5,15.0,0,0,0.0,0.0,0.401386136,0.066897689,18685249.25,28435902.89,60057316,570,74736941,24912313.67,31308830.58,60057316,570,0,0.0,0.0,0,0,0,128,40,0.053518151,0.013379538,30,5.0,12.24744871,150.0,0,1,0,1,0,6.0,7.5,0.0,0,0,4,30,1,0,-1,65160,1,4626.0,0.0,4626,4626,60057316.0,0.0,60057316,60057316,1,1692104100
192.168.3.4-192.168.3.10-11311-57490-6,192.168.3.10,57490,192.168.3.4,11311,6,72870650,26,1,630,0,30,0,24.23076923,12.05755429,0,0,0.0,0.0,8.645456024,0.370519544,2802717.308,11451377.79,57674697,0,72870118,2914804.72,11672947.72,57674697,0,0,0.0,0.0,0,0,0,832,40,0.356796598,0.013722946,30,22.5,13.22875656,175.0,0,1,0,0,0,23.33333333,24.23076923,0.0,0,0,26,630,1,0,-1,64240,21,1317564.5,1401073.397,2308273,326856,35059892.0,31982163.94,57674697,12445087,1,1692103200
192.168.3.4-192.168.3.10-40054-38651-6,192.168.3.10,38651,192.168.3.4,40054,6,1049318,3,1,30,0,30,0,10.0,17.32050808,0,0,0.0,0.0,28.58999846,3.811999794,349772.6667,353207.3264,707116,852,707968,353984.0,499404.0637,707116,852,0,0.0,0.0,0,0,0,96,40,2.858999846,0.952999949,30,6.0,13.41640786,180.0,0,1,0,1,0,7.5,10.0,0.0,0,0,3,30,1,0,-1,65160,1,0.0,0.0,0,0,0.0,0.0,0,0,1,1692101940
192.168.3.4-192.168.3.10-0-30054-6,192.168.3.10,30054,192.168.3.4,0,6,54815689,29,31,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.094577138,929079.4746,1360434.446,5305777,13,53046691,1894524.679,1422938.184,5305792,441873,54815689,1827189.633,1415891.481,5305794,18,0,580,620,0.529045617,0.565531521,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0,29,0,31,0,-1,0,0,29618446.0,0.0,29618446,29618446,5305777.0,0.0,5305777,5305777,1,1689172140
192.168.3.6-192.168.3.10-44667-33502-6,192.168.3.10,33502,192.168.3.6,44667,6,61171598,4230,1,30,0,30,0,0.007092199,0.461265604,0,0,0.0,0.0,0.490423677,69.16608587,14461.37069,23216.0289,662910,0,61162440,14462.62473,23218.63096,662910,0,0,0.0,0.0,0,0,0,136356,40,69.14973841,0.016347456,30,0.007088847,0.461156596,0.212665406,0,1,0,0,0,0.007090522,0.007092199,0.0,0,0,4230,30,1,0,-1,64240,1,0.0,0.0,0,0,0.0,0.0,0,0,1,1692104100
192.168.3.4-192.168.3.10-0-39381-6,192.168.3.10,39381,192.168.3.4,0,6,57046266,42,44,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.507548277,671132.5412,988209.7662,5745710,12,54837203,1337492.756,1025927.893,5745726,441107,57046266,1326657.349,1030993.189,5745728,14,0,840,880,0.736244507,0.771303769,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0,42,0,44,0,-1,0,0,21655976.0,0.0,21655976,21655976,5745710.0,0.0,5745710,5745710,1,1689174360
192.168.3.4-192.168.3.10-0-53886-6,192.168.3.10,53886,192.168.3.4,0,6,54803294,30,32,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.131318858,898414.6557,1332965.801,6186168,15,53918692,1859265.241,1399336.233,6186420,441984,54803294,1767848.194,1402122.472,6186425,267,0,600,640,0.547412351,0.583906508,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0,30,0,32,0,-1,0,0,22101992.0,0.0,22101992,22101992,6186168.0,0.0,6186168,6186168,1,1689174780
192.168.3.4-192.168.3.6-11311-42802-6,192.168.3.6,42802,192.168.3.4,11311,6,144579,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,622.4970431,69.16633813,16064.33333,18528.01536,39892,0,75085,18771.25,36884.63073,74097,0,111565,27891.25,34580.72174,73179,1,0,160,176,34.58316906,34.58316906,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,1,1689149460
192.168.3.6-192.168.3.10-45723-49852-6,192.168.3.10,49852,192.168.3.6,45723,6,24061,5,1,60,0,30,0,12.0,16.43167673,0,0,0.0,0.0,2493.661943,249.3661943,4812.2,6454.855552,11940,8,12237,3059.25,5921.823108,11940,8,0,0.0,0.0,0,0,0,160,40,207.8051619,41.56103238,30,8.571428571,14.63850109,214.2857143,0,1,0,0,0,10.0,12.0,0.0,0,0,5,60,1,0,-1,64240,2,0.0,0.0,0,0,0.0,0.0,0,0,1,1692104100
192.168.3.4-192.168.3.10-36441-56510-6,192.168.3.10,56510,192.168.3.4,36441,6,51121470,430,1,90,0,30,0,0.209302326,2.499959343,0,0,0.0,0.0,1.760512755,8.430899972,118887.1395,82434.60659,1012730,2,50108740,116803.5897,70287.07467,441031,2,0,0.0,0.0,0,0,0,14092,40,8.411338719,0.019561253,30,0.208333333,2.494192791,6.22099768,0,1,0,0,0,0.208816705,0.209302326,0.0,0,0,430,90,1,0,-1,64240,3,0.0,0.0,0,0,0.0,0.0,0,0,1,1692103560
192.168.3.4-192.168.3.6-11311-58664-6,192.168.3.6,58664,192.168.3.4,11311,6,145801,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,617.2797169,68.58663521,16200.11111,18492.57789,39950,1,76490,19122.5,37476.56581,75336,18,112603,28150.75,33743.59659,71448,1,0,160,176,34.2933176,34.2933176,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,1,1689149520
192.168.3.6-192.168.3.10-43023-41852-6,192.168.3.10,41852,192.168.3.6,43023,6,167477,4,4,30,30,30,0,7.5,15.0,30,0,7.5,15.0,358.2581489,47.76775318,23925.28571,41281.48134,101097,283,166638,55546.0,49891.86077,101097,2225,65281,21760.33333,36957.58475,64435,290,0,128,144,23.88387659,23.88387659,30,6.666666667,13.22875656,175.0,0,1,0,0,1,7.5,7.5,7.5,0,0,4,30,4,30,-1,506,1,0.0,0.0,0,0,0.0,0.0,0,0,1,1689157920
192.168.3.4-192.168.3.10-34823-53214-6,192.168.3.10,53214,192.168.3.4,34823,6,10308,5,1,60,0,30,0,12.0,16.43167673,0,0,0.0,0.0,5820.721769,582.0721769,2061.6,4296.135158,9743,2,10296,2574.0,4781.074984,9743,2,0,0.0,0.0,0,0,0,160,40,485.0601475,97.01202949,30,8.571428571,14.63850109,214.2857143,0,1,0,0,0,10.0,12.0,0.0,0,0,5,60,1,0,-1,64240,2,0.0,0.0,0,0,0.0,0.0,0,0,1,1692104100
