Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Bwd Byts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Binary,Timestamp
192.168.3.4-192.168.3.6-11311-41226-6,192.168.3.6,41226,192.168.3.4,11311,6,5644,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,15946.13749,1771.793055,627.1111111,858.922209,2463,1,3594,898.5,1548.312738,3205,1,4884,1221.0,1075.078912,2463,1,0,160,176,885.8965273,885.8965273,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,0,1689150960
192.168.3.4-192.168.3.6-11311-41448-6,192.168.3.4,11311,192.168.3.6,41448,6,373,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5361.930295,373.0,0.0,373,373,0,0.0,0.0,0,0,373,373.0,0.0,373,373,0,0,64,0.0,5361.930295,0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,0,2,0,-1,501,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1689154440
192.168.3.4-192.168.3.6-11311-58190-6,192.168.3.6,58190,192.168.3.4,11311,6,4058,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,22178.41301,2464.268112,450.8888889,774.4674694,2443,1,3676,919.0,1524.557203,3179,1,3183,795.75,1111.429522,2443,5,0,160,176,1232.134056,1232.134056,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,0,1688731680
192.168.3.4-192.168.3.6-11311-57190-6,192.168.3.4,11311,192.168.3.6,57190,6,372,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5376.344086,372.0,0.0,372,372,0,0.0,0.0,0,0,372,372.0,0.0,372,372,0,0,64,0.0,5376.344086,0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,0,2,0,-1,501,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1689171060
192.168.3.4-192.168.3.10-53686-39937-6,192.168.3.10,39937,192.168.3.4,53686,6,5,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,400000.0,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,40,200000.0,200000.0,0,0.0,0.0,0.0,0,1,0,1,1,0.0,0.0,0.0,0,0,1,0,1,0,-1,65160,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1692103260
192.168.3.4-192.168.3.6-11311-53588-6,192.168.3.4,11311,192.168.3.6,53588,6,491,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4073.319756,491.0,0.0,491,491,0,0.0,0.0,0,0,491,491.0,0.0,491,491,0,0,64,0.0,4073.319756,0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,0,2,0,-1,501,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1688737440
192.168.3.4-192.168.3.6-11311-40274-6,192.168.3.4,11311,192.168.3.6,40274,6,380,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5263.157895,380.0,0.0,380,380,0,0.0,0.0,0,0,380,380.0,0.0,380,380,0,0,64,0.0,5263.157895,0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,0,2,0,-1,501,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1689175380
192.168.3.6-192.168.3.10-44667-35778-6,192.168.3.10,35778,192.168.3.6,44667,6,2033,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,983.7678308,2033.0,0.0,2033,2033,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,491.8839154,491.8839154,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0,0,1,0,1,0,-1,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1692104460
192.168.3.4-192.168.3.6-43993-48164-6,192.168.3.4,43993,192.168.3.6,48164,6,119998779,4167,3508,125010,30,30,30,30.0,0.0,30,0,0.008551881,0.50651401,1042.010602,63.95898412,15637.05747,18706.41303,58587,0,119992384,28802.7806,17678.07974,73722,0,119998779,34216.93157,22455.81188,102393,372,1,133344,112256,34.72535333,29.23363079,30,16.29364252,14.94508571,223.3555869,0,0,1,1,0,16.29576547,30.0,0.008551881,0,0,4167,125010,3508,30,-1,501,4167,0.0,0.0,0,0,0.0,0.0,0,0,0,1688739600
192.168.3.4-192.168.3.6-49482-34799-6,192.168.3.6,34799,192.168.3.4,49482,6,62016626,2,5,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.112872958,10336104.33,24764512.5,60883297,5,61447298,61447298.0,0.0,61447298,61447298,62014887,15503721.75,30254465.21,60883657,5,0,64,160,0.032249416,0.080623541,0,0.0,0.0,0.0,0,0,0,1,2,0.0,0.0,0.0,0,0,2,0,5,0,-1,501,0,569328.0,0.0,569328,569328,60883297.0,0.0,60883297,60883297,0,1689155940
192.168.3.4-192.168.3.6-11311-33196-6,192.168.3.4,11311,192.168.3.6,33196,6,368,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5434.782609,368.0,0.0,368,368,0,0.0,0.0,0,0,368,368.0,0.0,368,368,0,0,64,0.0,5434.782609,0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,0,2,0,-1,501,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1689157680
192.168.3.4-192.168.3.6-11311-57664-6,192.168.3.6,57664,192.168.3.4,11311,6,5060,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,17786.56126,1976.284585,562.2222222,691.3144686,2123,1,3584,896.0,1103.867746,2491,1,3968,992.0,883.5024995,2123,1,0,160,176,988.1422925,988.1422925,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,0,1692103740
192.168.3.6-192.168.3.7-57174-11111-6,192.168.3.6,57174,192.168.3.7,11111,6,25526399,757,768,6456,14188,30,0,8.528401585,3.04651752,30,0,18.47395833,11.24409039,808.7313843,59.74207329,16749.60564,18170.53146,546698,0,25526025,33764.58333,24422.92718,587706,0,25526029,33280.35072,26031.31253,546698,369,0,24224,24592,29.65557343,30.08649986,30,13.52817824,9.645530294,93.03625465,0,1,0,0,1,13.53704918,8.528401585,18.47395833,0,0,757,6456,768,14188,-1,181,750,0.0,0.0,0,0,0.0,0.0,0,0,0,1688729280
192.168.3.4-192.168.3.6-11311-47034-6,192.168.3.6,47034,192.168.3.4,11311,6,4012,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,22432.70189,2492.522433,445.7777778,581.9649426,1890,0,3270,817.5,1301.575071,2733,0,2986,746.5,762.4139296,1890,351,0,160,176,1246.261216,1246.261216,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,0,1688735340
192.168.3.4-192.168.3.6-11311-41098-6,192.168.3.6,41098,192.168.3.4,11311,6,9067,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,9926.105658,1102.900629,1007.444444,871.6430048,2070,2,5031,1257.75,1789.511921,3901,2,7920,1980.0,327.6858251,2437,1672,0,160,176,551.4503143,551.4503143,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,0,1688730900
192.168.3.4-192.168.3.6-11311-55684-6,192.168.3.6,55684,192.168.3.4,11311,6,6653,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,13527.73185,1503.081317,739.2222222,865.7444452,2132,0,3283,820.75,1380.861416,2872,0,5883,1470.75,996.3340722,2132,1,0,160,176,751.5406583,751.5406583,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,0,1688732220
192.168.3.4-192.168.3.6-44973-47686-6,192.168.3.4,44973,192.168.3.6,47686,6,119980745,4184,3552,125520,0,30,30,30.0,0.0,0,0,0.0,0.0,1046.167866,64.47701254,15511.40853,19086.66181,58939,0,119979846,28682.72675,18127.65914,90879,1,119980218,33787.72684,22729.32248,102680,287,0,133888,113664,34.87226221,29.60475033,30,16.22334238,14.95099745,223.5323248,0,0,0,1,0,16.2254395,30.0,0.0,0,0,4184,125520,3552,0,-1,20819,4184,0.0,0.0,0,0,0.0,0.0,0,0,0,1689172320
192.168.3.4-192.168.3.6-11311-46850-6,192.168.3.6,46850,192.168.3.4,11311,6,8983,5,5,60,30,30,0,12.0,16.43167673,30,0,6.0,13.41640786,10018.92464,1113.213848,998.1111111,1369.051994,4201,1,2727,681.75,1055.224897,2225,1,8099,2024.75,1547.172986,4201,899,0,160,176,556.6069242,556.6069242,30,8.181818182,14.01298099,196.3636364,0,1,0,0,1,9.0,12.0,6.0,0,0,5,60,5,30,-1,507,2,0.0,0.0,0,0,0.0,0.0,0,0,0,1688731080
192.168.3.4-192.168.3.10-44488-42259-6,192.168.3.10,42259,192.168.3.4,44488,6,13,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,153846.1538,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,40,76923.07692,76923.07692,0,0.0,0.0,0.0,0,1,0,1,1,0.0,0.0,0.0,0,0,1,0,1,0,-1,65160,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1692104880
