Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Bwd Byts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Binary,Timestamp
192.168.3.4-192.168.3.10-34823-56364-6,192.168.3.10,56364,192.168.3.4,34823,6,50584,5,1,60,0,30,0,12,16.43167673,0,0,0,0,1186.145817,118.6145817,10116.8,22305.85288,50018,1,50570,12642.5,24917.33721,50018,1,0,0,0,0,0,0,160,40,98.84548474,19.76909695,30,8.571428571,14.63850109,214.2857143,0,1,0,0,0,10,12,0,0,0,5,60,1,0,-1,64240,2,0,0,0,0,0,0,0,0,1,1692104820
192.168.3.6-192.168.3.10-45723-45426-6,192.168.3.10,45426,192.168.3.6,45723,6,1496,5,1,60,0,30,0,12,16.43167673,0,0,0,0,40106.95187,4010.695187,299.2,216.1011337,611,0,1202,300.5,249.5095189,611,0,0,0,0,0,0,0,160,40,3342.245989,668.4491979,30,8.571428571,14.63850109,214.2857143,0,1,0,0,0,10,12,0,0,0,5,60,1,0,-1,64240,2,0,0,0,0,0,0,0,0,1,1692103200
192.168.3.4-192.168.3.6-43584-44935-6,192.168.3.4,43584,192.168.3.6,44935,6,103236385,1,4,0,0,0,0,0,0,0,0,0,0,0,0.048432537,25809096.25,30860080.68,61432864,348,0,0,0,0,0,103236385,34412128.33,31376189.73,61433212,365,0,32,128,0.009686507,0.038746029,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,4,0,-1,509,0,365,0,365,365,61432864,0,61432864,61432864,0,1689173100
192.168.3.4-192.168.3.6-59016-36255-6,192.168.3.4,59016,192.168.3.6,36255,6,61437255,1,3,0,0,0,0,0,0,0,0,0,0,0,0.065107076,20479085,35470185.25,61436527,352,0,0,0,0,0,61437255,30718627.5,43442201.82,61436903,352,0,32,96,0.016276769,0.048830307,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,3,0,-1,509,0,352,0,352,352,61436527,0,61436527,61436527,0,1689175500
192.168.3.4-192.168.3.6-34035-51518-6,192.168.3.4,34035,192.168.3.6,51518,6,119997003,2400,2402,40800,17,17,17,17,0,17,0,0.007077435,0.346866549,340.1501619,40.01766611,24994.16851,24435.51507,57484,0,119947008,49998.75281,1486.89133,57854,42714,119997003,49977.92711,2251.758197,59755,377,1,76800,76864,20.00049951,20.0171666,17,8.501769727,8.500884818,72.26504268,0,0,1,1,1,8.503540192,17,0.007077435,0,0,2400,40800,2402,17,-1,501,2400,0,0,0,0,0,0,0,0,0,1688733720
192.168.3.4-192.168.3.6-33536-33365-6,192.168.3.6,33365,192.168.3.4,33536,6,68823109,2,4,30,30,30,0,15,21.21320344,30,0,7.5,15,0.871800197,0.08718002,13764621.8,26657039.01,61075178,359,7715999,7715999,0,7715999,7715999,68823109,22941036.33,33251530.4,61075178,375,1,64,128,0.029060007,0.058120013,30,12.85714286,16.03567451,257.1428571,0,0,1,1,2,15,15,7.5,0,0,2,30,4,30,-1,501,1,15786.5,21795.15232,31198,375,34395588.5,37730637.31,61075178,7715999,1,
192.168.3.4-192.168.3.10-0-8518-6,192.168.3.10,8518,192.168.3.4,0,6,59241968,38,38,0,0,0,0,0,0,0,0,0,0,0,1.28287433,789892.9067,1207996.837,5302934,12,56584181,1529302.189,1303812.395,5302951,441757,59241968,1601134.27,1327648.687,5302952,17,0,760,760,0.641437165,0.641437165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,38,0,-1,0,0,18129328,0,18129328,18129328,5302934,0,5302934,5302934,1,
192.168.3.4-192.168.3.6-11311-33592-6,192.168.3.4,11311,192.168.3.6,33592,6,378,0,2,0,0,0,0,0,0,0,0,0,0,0,5291.005291,378,0,378,378,0,0,0,0,0,378,378,0,378,378,0,0,64,0,5291.005291,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,
192.168.3.4-192.168.3.10-0-19251-6,192.168.3.10,19251,192.168.3.4,0,6,56570881,38,40,0,0,0,0,0,0,0,0,0,0,0,1.378801225,734686.7662,952745.3162,3535213,11,54361963,1469242.243,846795.2243,3535231,440233,56570881,1450535.41,866078.9488,3535228,498,0,760,800,0.671723674,0.707077551,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,40,0,-1,0,0,0,0,0,0,0,0,0,0,1,
192.168.3.4-192.168.3.10-0-41346-6,192.168.3.10,41346,192.168.3.4,0,6,59240777,33,35,0,0,0,0,0,0,0,0,0,0,0,1.147858003,884190.7015,1399875.477,6186676,11,54378820,1699338.125,1519204.217,6186911,441734,59240777,1742375.794,1646423.308,6630671,15,0,660,700,0.557048737,0.590809266,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,35,0,-1,0,0,8397921.5,8124513.373,14142820,2653023,5966614.5,311213.9579,6186676,5746553,1,
